Vylepšena hueristika
Účelová funkcia: 7070
Hmotnosť batohu: 19598
Počet veci v batohu: 350
1. Vec, Cena: 5, Hmotnosť: 79
2. Vec, Cena: 5, Hmotnosť: 79
3. Vec, Cena: 5, Hmotnosť: 75
4. Vec, Cena: 5, Hmotnosť: 75
5. Vec, Cena: 5, Hmotnosť: 74
6. Vec, Cena: 5, Hmotnosť: 73
7. Vec, Cena: 5, Hmotnosť: 71
8. Vec, Cena: 5, Hmotnosť: 70
9. Vec, Cena: 5, Hmotnosť: 69
10. Vec, Cena: 5, Hmotnosť: 68
11. Vec, Cena: 5, Hmotnosť: 67
12. Vec, Cena: 5, Hmotnosť: 62
13. Vec, Cena: 5, Hmotnosť: 61
14. Vec, Cena: 5, Hmotnosť: 60
15. Vec, Cena: 5, Hmotnosť: 60
16. Vec, Cena: 5, Hmotnosť: 58
17. Vec, Cena: 5, Hmotnosť: 57
18. Vec, Cena: 5, Hmotnosť: 56
19. Vec, Cena: 5, Hmotnosť: 56
20. Vec, Cena: 5, Hmotnosť: 55
21. Vec, Cena: 5, Hmotnosť: 54
22. Vec, Cena: 5, Hmotnosť: 51
23. Vec, Cena: 5, Hmotnosť: 51
24. Vec, Cena: 5, Hmotnosť: 50
25. Vec, Cena: 5, Hmotnosť: 49
26. Vec, Cena: 5, Hmotnosť: 49
27. Vec, Cena: 5, Hmotnosť: 47
28. Vec, Cena: 5, Hmotnosť: 47
29. Vec, Cena: 5, Hmotnosť: 46
30. Vec, Cena: 5, Hmotnosť: 45
31. Vec, Cena: 5, Hmotnosť: 45
32. Vec, Cena: 5, Hmotnosť: 43
33. Vec, Cena: 5, Hmotnosť: 42
34. Vec, Cena: 5, Hmotnosť: 42
35. Vec, Cena: 5, Hmotnosť: 42
36. Vec, Cena: 5, Hmotnosť: 40
37. Vec, Cena: 10, Hmotnosť: 79
38. Vec, Cena: 10, Hmotnosť: 77
39. Vec, Cena: 10, Hmotnosť: 75
40. Vec, Cena: 10, Hmotnosť: 74
41. Vec, Cena: 10, Hmotnosť: 74
42. Vec, Cena: 10, Hmotnosť: 72
43. Vec, Cena: 5, Hmotnosť: 36
44. Vec, Cena: 5, Hmotnosť: 36
45. Vec, Cena: 5, Hmotnosť: 36
46. Vec, Cena: 5, Hmotnosť: 36
47. Vec, Cena: 5, Hmotnosť: 36
48. Vec, Cena: 10, Hmotnosť: 71
49. Vec, Cena: 10, Hmotnosť: 70
50. Vec, Cena: 10, Hmotnosť: 69
51. Vec, Cena: 10, Hmotnosť: 68
52. Vec, Cena: 5, Hmotnosť: 34
53. Vec, Cena: 5, Hmotnosť: 33
54. Vec, Cena: 10, Hmotnosť: 66
55. Vec, Cena: 5, Hmotnosť: 32
56. Vec, Cena: 10, Hmotnosť: 64
57. Vec, Cena: 10, Hmotnosť: 64
58. Vec, Cena: 10, Hmotnosť: 64
59. Vec, Cena: 5, Hmotnosť: 31
60. Vec, Cena: 10, Hmotnosť: 59
61. Vec, Cena: 10, Hmotnosť: 57
62. Vec, Cena: 10, Hmotnosť: 56
63. Vec, Cena: 10, Hmotnosť: 56
64. Vec, Cena: 10, Hmotnosť: 53
65. Vec, Cena: 15, Hmotnosť: 79
66. Vec, Cena: 15, Hmotnosť: 79
67. Vec, Cena: 15, Hmotnosť: 78
68. Vec, Cena: 10, Hmotnosť: 52
69. Vec, Cena: 10, Hmotnosť: 52
70. Vec, Cena: 15, Hmotnosť: 76
71. Vec, Cena: 5, Hmotnosť: 25
72. Vec, Cena: 5, Hmotnosť: 25
73. Vec, Cena: 15, Hmotnosť: 74
74. Vec, Cena: 15, Hmotnosť: 74
75. Vec, Cena: 15, Hmotnosť: 74
76. Vec, Cena: 10, Hmotnosť: 48
77. Vec, Cena: 5, Hmotnosť: 24
78. Vec, Cena: 10, Hmotnosť: 48
79. Vec, Cena: 5, Hmotnosť: 24
80. Vec, Cena: 15, Hmotnosť: 72
81. Vec, Cena: 10, Hmotnosť: 47
82. Vec, Cena: 5, Hmotnosť: 23
83. Vec, Cena: 10, Hmotnosť: 46
84. Vec, Cena: 10, Hmotnosť: 46
85. Vec, Cena: 15, Hmotnosť: 68
86. Vec, Cena: 15, Hmotnosť: 68
87. Vec, Cena: 15, Hmotnosť: 68
88. Vec, Cena: 10, Hmotnosť: 45
